Filename,Asset Version,Asset Generator,Number of Scenes,Number of Nodes,Number of Meshes,Number of Materials,Number of Animations,Number of Textures,Number of Images,Number of Buffers,Extensions Used,Extensions Required,Count_Extensions_Used,Cluster,PCA1,PCA2
petronas_towers_voxel.glb,2.0,Sketchfab-12.63.0,1,3,1,1,0,1,1,1,[],[],0,0,-0.6431812175142934,-0.1128825453452932
India_Marble_Temple_Pillar.glb,2.0,pygltflib@v1.16.3,1,18,7,1,0,1,1,1,[],[],0,0,-0.572653948494569,0.005919405874170262
pyramid_of_menkaure_giza_pyramid_complex_egypt.glb,2.0,Sketchfab-15.36.0,1,5,3,1,0,2,2,1,[],[],0,0,-0.5432982386431031,-0.13759138440555932
petronas_twin_towers.glb,2.0,Sketchfab-12.68.0,1,7,5,5,0,0,0,1,[],[],0,0,-0.517800136486718,-0.09881579108394087
golden_gate_bridge.glb,2.0,Sketchfab-12.65.0,1,5,2,1,0,0,0,1,[],[],0,0,-0.7169605626763097,-0.042712230947206754
tour_eiffel_-_eiffel_tower.glb,2.0,Sketchfab-15.36.0,1,72,29,27,0,17,17,1,['KHR_materials_specular'],[],1,2,2.038540386770086,-1.0979572602273935
12th_C_CE_Water-Moon_Guanyin.glb,2.0,pygltflib@v1.16.3,1,10,3,1,0,2,2,1,[],[],0,0,-0.5302125232135483,-0.117677812588543
Shuri_Castle__Shurijō_Naha_-_Okinawa.glb,2.0,pygltflib@v1.16.3,1,12,4,3,0,2,2,1,[],[],0,0,-0.430621010593763,-0.14666864794087472
Tibetan_Amoghasiddhi_Buddha_13th_C_CE.glb,2.0,pygltflib@v1.16.3,1,8,2,1,0,5,5,1,[],[],0,0,-0.2879825411401685,-0.29257081973971794
taj_mahal_3d_model.glb,2.0,Sketchfab-15.24.0,1,31,29,7,0,0,0,1,[],[],0,0,-0.24076267217449562,0.18621449333752121
colosseum_rome_italy.glb,2.0,Sketchfab-12.66.0,1,74,70,1,0,1,1,1,[],[],0,0,-0.09775764700742696,0.8490943857931046
Svetitskhoveli_Cathedral_Mtskheta_Georgia.glb,2.0,pygltflib@v1.16.3,1,60,27,1,0,1,1,1,[],[],0,0,-0.358500196449442,0.3700641950318221
Stone_lion.glb,2.0,pygltflib@v1.16.3,1,10,1,1,0,5,5,1,[],[],0,0,-0.2879599420901898,-0.2944489303076471
Futatsugoya_Tunnel_Abandoned_road_japan.glb,2.0,pygltflib@v1.16.3,1,30,13,12,0,12,12,1,[],[],0,0,0.90680086057358,-0.7206005146948692
christ_the_redeemer_rio_de_janeiro.glb,2.0,Sketchfab-12.65.0,1,8,6,1,0,1,1,1,['KHR_materials_unlit'],[],1,2,-0.7553226810610777,-0.13307339737905552
The_Great_Drawing_Room.glb,2.0,pygltflib@v1.16.3,1,34,15,1,0,1,1,1,[],[],0,0,-0.4890861621452469,0.14839115004650838
Roman_Temple_of_Evora.glb,2.0,pygltflib@v1.16.3,1,74,35,8,0,8,8,1,[],[],0,0,0.6214199205592491,-0.025758225967014502
Plateosaurus_Skeleton.glb,2.0,pygltflib@v1.16.3,1,12,4,1,0,3,3,1,[],[],0,0,-0.4355412314642014,-0.15223019094354498
Fountain_with_three_putts_Brno_Lužánky.glb,2.0,pygltflib@v1.16.3,1,10,2,1,0,5,5,1,[],[],0,0,-0.28274825496834655,-0.28460539101291144
Part_of_Trajans_Column_in_Bucharest_02.glb,2.0,pygltflib@v1.16.3,1,12,3,2,0,1,1,1,[],[],0,0,-0.564630785834348,-0.08075093917212929
The_Picture_Gallery.glb,2.0,pygltflib@v1.16.3,1,28,12,1,0,1,1,1,[],[],0,0,-0.5204240820262427,0.09496424598188159
palace_of_westminster.glb,2.0,Sketchfab-15.58.0,1,12,8,1,0,1,1,1,[],[],0,0,-0.5831451198881915,-0.008133341011513603
a_sculpture_in_Heidelberg_Germany.glb,2.0,pygltflib@v1.16.3,1,26,11,2,0,2,2,1,[],[],0,0,-0.4020719672011662,0.0013940298968581142
Bronze_Moses_at_Augustana_University.glb,2.0,pygltflib@v1.16.3,1,14,5,1,0,1,1,1,[],[],0,0,-0.5935458950818994,-0.02969853016891429
sw_angkor_entrance_2.glb,2.0,Sketchfab-15.5.0,1,6,4,1,0,1,1,1,['KHR_materials_unlit'],[],1,2,-0.7709803414765862,-0.16072590469533357
the_charterhouse_chapel.glb,2.0,Sketchfab-12.67.0,1,16,14,2,0,2,2,1,['KHR_materials_unlit'],[],1,2,-0.563893951280302,-0.09822461617742462
