Filename,Asset Version,Asset Generator,Number of Scenes,Number of Nodes,Number of Meshes,Number of Materials,Number of Animations,Number of Textures,Number of Images,Number of Buffers,Extensions Used,Extensions Required,Count_Extensions_Used,Cluster,PCA1,PCA2
Japanese_Tengu_Mask.glb,2.0,pygltflib@v1.16.3,1,8,1,1,0,5,5,1,[],[],0,0,-0.2931942282620118,-0.3024143590344537
Roman_Baths_-_free_game_asset.glb,2.0,pygltflib@v1.16.3,1,31,9,9,0,45,45,1,[],[],0,0,3.5342884552204326,-2.4137166828755565
Lion_Crushing_a_Serpent.glb,2.0,pygltflib@v1.16.3,1,15,5,1,0,5,5,1,[],[],0,0,-0.2540274781732618,-0.2351612013116878
statue_of_liberty.glb,2.0,Sketchfab-12.67.0,1,3,1,1,0,3,3,1,[],[],0,0,-0.47473058060293,-0.21760523809838156
Lewis_Chess_Set.glb,2.0,pygltflib@v1.16.3,1,27,11,11,0,11,11,1,[],[],0,0,0.759727968953419,-0.6764744883110693
Ox_head_sculpture_Paris.glb,2.0,pygltflib@v1.16.3,1,6,1,1,0,5,5,1,[],[],0,0,-0.2984285144338337,-0.3103797877612602
alhambra_palace_fortress_granada_spain.glb,2.0,Sketchfab-12.66.0,1,74,70,1,0,1,1,1,[],[],0,0,-0.09775764700742696,0.8490943857931046
milan_cathedral.glb,2.0,Sketchfab-16.59.0,1,112,103,1,0,2,2,1,[],[],0,0,0.25790478373370024,1.2729129819521643
Embracing_peace.glb,2.0,pygltflib@v1.16.3,1,18,7,7,0,3,3,1,[],[],0,0,-0.1367666936048458,-0.23920269700054
Ancient_Corinth_-_Peirene_Fountain.glb,2.0,pygltflib@v1.16.3,1,6,1,1,0,5,5,1,[],[],0,0,-0.2984285144338337,-0.3103797877612602
cemetery_angel_-_campanella.glb,2.0,pygltflib@v1.16.3,1,53,24,1,0,1,1,1,[],[],0,0,-0.3924552594163487,0.31265457660379203
John_Ewarts_1642_Monument.glb,2.0,pygltflib@v1.16.3,1,8,2,1,0,1,1,1,[],[],0,0,-0.6248838149628951,-0.08312543423354114
Kama_Dagger.glb,2.0,pygltflib@v1.16.3,1,8,2,1,0,5,5,1,[],[],0,0,-0.2879825411401685,-0.29257081973971794
Unesco_World_Heritage_Cathedral_in_Trier.glb,2.0,pygltflib@v1.16.3,1,116,55,1,0,1,1,1,[],[],0,0,-0.06601294422681515,0.8687152996350056
Leake_Street_Graffiti_Tunnel.glb,2.0,pygltflib@v1.16.3,1,44,20,1,0,1,1,1,[],[],0,0,-0.43685629567692064,0.2374359901542197
Peirene_Fountain_Corinth_-_Greece.glb,2.0,pygltflib@v1.16.3,1,18,7,6,0,7,7,1,[],[],0,0,0.15556181055482077,-0.42524818081977994
Japanese_Mask.glb,2.0,pygltflib@v1.16.3,1,12,4,1,0,4,4,1,[],[],0,0,-0.35131591300851966,-0.2045915373200892
Hydria_apothecary_vase.glb,2.0,pygltflib@v1.16.3,1,19,7,1,0,2,2,1,[],[],0,0,-0.48581148695297616,-0.04245922613897068
Frank.glb,2.0,pygltflib@v1.16.3,1,7,1,1,0,1,1,1,[],[],0,0,-0.6327126451706494,-0.09695168789168014
prague_castle_prague_czech_republic.glb,2.0,Sketchfab-12.66.0,1,74,70,1,0,1,1,1,[],[],0,0,-0.09775764700742696,0.8490943857931046
Eastnor_castle.glb,2.0,pygltflib@v1.16.3,1,18,6,2,0,2,2,1,[],[],0,0,-0.44906754749767047,-0.07968538148404666
The_Kings_Hall.glb,2.0,pygltflib@v1.16.3,1,34,15,1,0,1,1,1,[],[],0,0,-0.4890861621452469,0.14839115004650838
St_Bartholomew_The_Great.glb,2.0,pygltflib@v1.16.3,1,74,35,3,0,3,3,1,[],[],0,0,-0.02257052003445881,0.3530480143503914
Chapiteau_de_la_Dispute.glb,2.0,pygltflib@v1.16.3,1,13,4,1,0,2,2,1,[],[],0,0,-0.517149406833972,-0.09588613020359749
abandoned_house_interior.glb,2.0,pygltflib@v1.16.3,1,18,7,1,0,1,1,1,[],[],0,0,-0.572653948494569,0.005919405874170262
Owl_Zun_wine_vessel_13th-12th_century_BCE.glb,2.0,pygltflib@v1.16.3,1,13,2,2,1,10,10,1,[],[],0,0,0.09570109921909169,-0.789096807665169
Church_Of_St_Peter_Stourton.glb,2.0,pygltflib@v1.16.3,1,48,22,2,0,2,2,1,[],[],0,0,-0.2871662609708485,0.1972926781338231
jerusalem_1st._temple_period._blmj_museum.glb,2.0,Sketchfab-16.16.0,1,12,10,2,0,2,2,1,[],[],0,0,-0.44392365752576324,-0.06420751048552328
petra_detail.glb,2.0,Sketchfab-12.65.0,1,7,5,2,0,2,2,1,['KHR_materials_unlit'],[],1,2,-0.6343534231500904,-0.22266089910067563
guggenheim_nyc.glb,2.0,Sketchfab-12.65.0,1,3,1,1,0,0,0,1,[],[],0,0,-0.727406535969975,-0.06052119896874901
free__burj_khalifa_dubai.glb,2.0,Sketchfab-12.82.3,1,15,11,2,0,0,0,1,[],[],0,0,-0.5993111780575504,0.06230686465251057
Japanese_Temple.glb,2.0,pygltflib@v1.16.3,1,50,22,12,0,31,31,1,[],[],0,0,2.6063299570463405,-1.547219954928522
Rhetorician.glb,2.0,pygltflib@v1.16.3,1,17,4,2,2,2,2,1,[],[],0,0,-0.6523109388507938,-0.5658210267825404
model_st._basils_cathedral_red_square.glb,2.0,Sketchfab-12.82.3,1,3,1,1,0,1,1,1,['KHR_materials_unlit'],[],1,2,-0.794466832099849,-0.20220466566975057
Karahan_Tepe.glb,2.0,pygltflib@v1.16.3,1,14,4,2,0,2,2,1,[],[],0,0,-0.469959494085001,-0.1153033175271312
Cranium_with_injuries_-_260727.glb,2.0,pygltflib@v1.16.3,1,30,13,2,0,2,2,1,[],[],0,0,-0.3811800206138357,0.03701196593994269
cemetery_Angel_-_Miller.glb,2.0,pygltflib@v1.16.3,1,35,15,1,0,1,1,1,[],[],0,0,-0.4864690190593359,0.15237386440991166
stonehenge_england_-_vr.glb,2.0,Sketchfab-12.68.0,1,8,4,2,0,2,2,1,[],[],0,0,-0.48566235260046686,-0.13919960370755077
The_Billiards_Room.glb,2.0,pygltflib@v1.16.3,1,32,14,1,0,1,1,1,[],[],0,0,-0.4995321354389122,0.1305821820249661
forbidden_city_model_-.glb,2.0,Sketchfab-15.25.0,1,478,232,6,0,0,0,1,[],[],0,0,1.942500003298839,3.9881261922970723
pantheon_rome_italy.glb,2.0,Sketchfab-12.66.0,1,73,69,1,0,1,1,1,[],[],0,0,-0.10558647721518129,0.8352681321349655
City_RTX.glb,2.0,pygltflib@v1.16.3,1,618,203,100,0,98,98,1,[],[],0,1,14.601682665777359,-3.070759139847215
Bronze_relief_Montmorency_monument_Québec_City.glb,2.0,pygltflib@v1.16.3,1,18,7,1,0,2,2,1,[],[],0,0,-0.48842863003888715,-0.046441940502373914
ellora_caves__india copy.glb,2.0,Sketchfab-12.68.0,1,9,5,1,0,1,1,1,['KHR_materials_unlit'],[],1,2,-0.75791722509701,-0.138934222310388
Oldest_Surviving_Civil_War_Monument.glb,2.0,pygltflib@v1.16.3,1,34,15,3,0,1,1,1,[],[],0,0,-0.3999406228191269,0.10159134667263442
India_Gate.glb,2.0,pygltflib@v1.16.3,1,9,1,1,0,4,4,1,[],[],0,0,-0.3748024036317824,-0.2460702982945062
Maisons_médiévales_Bellac_87.glb,2.0,pygltflib@v1.16.3,1,14,5,1,0,1,1,1,[],[],0,0,-0.5935458950818994,-0.02969853016891429
lincoln_memorial.glb,2.0,Sketchfab-12.68.0,1,53,51,1,0,0,0,1,[],[],0,0,-0.33596502558226155,0.6307914839382012
cologne_cathedral.glb,2.0,Sketchfab-14.90.0,1,21,17,1,0,1,1,1,['KHR_materials_unlit'],[],1,2,-0.6639712626039588,0.02698082158728009
seattle_space_needle.glb,2.0,Sketchfab-12.66.0,1,18,6,1,0,3,3,1,[],[],0,0,-0.4094149987050489,-0.10864682617365386
Stránská_rock_1.glb,2.0,pygltflib@v1.16.3,1,10,2,1,0,5,5,1,[],[],0,0,-0.28274825496834655,-0.28460539101291144
mar_saba_monastery__-rawscan.glb,2.0,Sketchfab-12.67.0,1,17,15,1,0,1,1,1,['KHR_materials_unlit'],[],1,2,-0.6848632091912893,-0.008637114455804418
